,Maize_Production,Rice_Production,Yams_Production,Wheat_Production,Tomatoes_Production,Tea_Production,Sweet_potatoes_Production,Sunflower_seed_Production,Sugar_cane_Production,Soybeans_Production,Rye_Production,Potatoes_Production,Oranges_Production,"Peas,_dry_Production",Palm_oil_Production,Grapes_Production,"Coffee,_green_Production",Cocoa_beans_Production,"Meat,_chicken_Production",Bananas_Production,Avocados_Production,Apples_Production
count,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0,11912.0
mean,17610752.0,21055254.0,2622132.0,22284207.0,2856002.0,131355.0,4924158.0,1301800.0,48920990.0,7244919.0,1847956.0,11567217.0,2033174.0,609773.0,1329852.0,3479315.0,339993.0,211182.0,1066499.0,2451528.0,144718.0,3112806.0
std,55802595.0,66657163.0,7968904.0,51720184.0,8067083.0,234238.0,19419266.0,2780860.0,128530031.0,22691402.0,4260613.0,32228516.0,4967607.0,1349944.0,4696058.0,7346612.0,778768.0,530538.0,3287285.0,6500187.0,321848.0,7720760.0
min,4.0,0.0,31.0,19.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,144.0
25%,23793.0,39025.0,11762.0,88925.0,12500.0,2040.0,7082.0,15377.0,331210.0,3811.0,19019.0,34472.0,11827.0,5196.0,13842.0,67577.0,3119.0,1092.0,3883.0,10071.0,3682.0,44316.0
50%,400049.0,454374.0,123605.0,1650000.0,129141.0,25646.0,78284.0,148150.0,3275770.0,84584.0,174864.0,488054.0,146906.0,47557.0,78876.0,468066.0,32296.0,9160.0,36590.0,150837.0,35778.0,422207.0
75%,4979875.0,4440542.0,572103.0,15241490.0,869136.0,119268.0,747222.0,1115602.0,25072267.0,1019846.0,1020084.0,3615307.0,1434050.0,426971.0,414506.0,3080176.0,212614.0,125048.0,354740.0,1187962.0,116032.0,1950000.0
max,359343980.0,446700628.0,48904039.0,293909156.0,54813115.0,1135012.0,118495600.0,17102418.0,768538785.0,145711528.0,23211294.0,188801184.0,30653814.0,7643161.0,34818154.0,39562398.0,4303236.0,3220701.0,21191164.0,43134390.0,2084507.0,47970966.0
