decade,Maize_Production,Rice_Production,Yams_Production,Wheat_Production,Tomatoes_Production,Tea_Production,Sweet_potatoes_Production,Sunflower_seed_Production,Sugar_cane_Production,Soybeans_Production,Rye_Production,Potatoes_Production,Oranges_Production,"Peas,_dry_Production",Palm_oil_Production,Grapes_Production,"Coffee,_green_Production",Cocoa_beans_Production,"Meat,_chicken_Production",Bananas_Production,Avocados_Production,Apples_Production
1960,8437020.0,20063110.0,2317834.0,20661262.0,2315488.0,125299.0,5020323.0,1263632.0,52180331.0,7485140.0,1652983.0,10986062.0,2349893.0,640559.0,1084798.0,3103120.0,268587.0,195774.0,1244742.0,2397830.0,125432.0,2509897.0
1970,11962826.0,20228510.0,2667417.0,20805582.0,1954224.0,117077.0,4726176.0,1367773.0,44094009.0,6063317.0,1881122.0,9185902.0,2024781.0,613868.0,1168103.0,2970362.0,299024.0,232573.0,835249.0,2751879.0,124299.0,3025896.0
1980,15414348.0,18323660.0,2217663.0,19131253.0,2749509.0,120083.0,4968508.0,1421991.0,48277585.0,5920823.0,1905993.0,8359642.0,1823470.0,602123.0,1326186.0,3173364.0,302905.0,243158.0,694124.0,2640143.0,127618.0,3579456.0
1990,16699788.0,20869430.0,2285282.0,21962558.0,3415525.0,137043.0,4948658.0,1285294.0,45804800.0,7692496.0,2013275.0,11736362.0,1981267.0,693395.0,1341659.0,3614895.0,352399.0,177846.0,950365.0,2239512.0,150306.0,3522039.0
2000,20261892.0,22155956.0,2702857.0,23907395.0,3222842.0,135300.0,5117571.0,1175445.0,52325481.0,7646188.0,1794768.0,13226163.0,1825162.0,599317.0,1247497.0,3696763.0,394830.0,214083.0,1217343.0,2430609.0,148152.0,3018529.0
2010,27312487.0,23388556.0,3371954.0,25844112.0,3184272.0,146373.0,4806669.0,1299129.0,50891932.0,8145346.0,1806511.0,14288484.0,2172918.0,531907.0,1615250.0,4076459.0,386295.0,211427.0,1352766.0,2377089.0,176759.0,2973189.0
2020,29680572.0,23935379.0,2816148.0,24217243.0,3165970.0,143132.0,4738577.0,1364919.0,48504301.0,8476952.0,1878231.0,15246688.0,2325797.0,543418.0,1912958.0,3745677.0,389286.0,186282.0,1361970.0,2048192.0,177007.0,3008427.0
